time,closeAsk,closeBid,volume,BNP.EURUSD - EUR/USD_x
2015-08-14T08:22:00.000000Z,1.1142578125,1.1142578125,62.0,1.1142578125
2015-08-14T08:23:00.000000Z,1.1142578125,1.11328125,111.0,1.11328125
2015-08-14T08:24:00.000000Z,1.1142578125,1.11328125,103.0,1.11328125
2015-08-14T08:25:00.000000Z,1.1142578125,1.1142578125,96.0,1.1142578125
2015-08-14T08:26:00.000000Z,1.1142578125,1.11328125,51.0,1.11328125
2015-08-14T08:27:00.000000Z,1.1142578125,1.11328125,67.0,1.11328125
2015-08-14T08:28:00.000000Z,1.11328125,1.11328125,85.0,1.11328125
2015-08-14T08:29:00.000000Z,1.1142578125,1.11328125,109.0,1.11328125
2015-08-14T08:30:00.000000Z,1.1142578125,1.1142578125,88.0,1.1142578125
2015-08-14T08:31:00.000000Z,1.11328125,1.11328125,36.0,1.11328125
2015-08-14T08:32:00.000000Z,1.11328125,1.11328125,38.0,1.11328125
2015-08-14T08:33:00.000000Z,1.11328125,1.11328125,104.0,1.11328125
2015-08-14T08:34:00.000000Z,1.11328125,1.11328125,118.0,1.11328125
2015-08-14T08:35:00.000000Z,1.1142578125,1.1142578125,67.0,1.1142578125
2015-08-14T08:36:00.000000Z,1.1142578125,1.1142578125,84.0,1.1142578125
2015-08-14T08:37:00.000000Z,1.1142578125,1.11328125,63.0,1.11328125
2015-08-14T08:38:00.000000Z,1.1142578125,1.11328125,82.0,1.11328125
2015-08-14T08:39:00.000000Z,1.1142578125,1.1142578125,39.0,1.1142578125
2015-08-14T08:40:00.000000Z,1.1142578125,1.1142578125,131.0,1.1142578125
2015-08-14T08:41:00.000000Z,1.1142578125,1.1142578125,108.0,1.1142578125
2015-08-14T08:42:00.000000Z,1.1142578125,1.1142578125,65.0,1.1142578125
2015-08-14T08:43:00.000000Z,1.1142578125,1.1142578125,29.0,1.1142578125
2015-08-14T08:44:00.000000Z,1.1142578125,1.1142578125,67.0,1.1142578125
2015-08-14T08:45:00.000000Z,1.1142578125,1.1142578125,52.0,1.1142578125
2015-08-14T08:46:00.000000Z,1.1142578125,1.1142578125,32.0,1.1142578125
2015-08-14T08:47:00.000000Z,1.1142578125,1.1142578125,103.0,1.1142578125
2015-08-14T08:48:00.000000Z,1.1142578125,1.1142578125,64.0,1.1142578125
2015-08-14T08:49:00.000000Z,1.1142578125,1.1142578125,77.0,1.1142578125
2015-08-14T08:50:00.000000Z,1.1142578125,1.1142578125,44.0,1.1142578125
2015-08-14T08:51:00.000000Z,1.1142578125,1.1142578125,58.0,1.1142578125
2015-08-14T08:52:00.000000Z,1.1142578125,1.1142578125,55.0,1.1142578125
2015-08-14T08:53:00.000000Z,1.1142578125,1.1142578125,75.0,1.1142578125
2015-08-14T08:54:00.000000Z,1.1142578125,1.1142578125,111.0,1.1142578125
2015-08-14T08:55:00.000000Z,1.1142578125,1.1142578125,72.0,1.1142578125
2015-08-14T08:56:00.000000Z,1.1142578125,1.1142578125,58.0,1.1142578125
2015-08-14T08:57:00.000000Z,1.1142578125,1.1142578125,44.0,1.1142578125
2015-08-14T08:58:00.000000Z,1.1142578125,1.1142578125,53.0,1.1142578125
2015-08-14T08:59:00.000000Z,1.1142578125,1.11328125,91.0,1.11328125
2015-08-14T09:00:00.000000Z,1.115234375,1.1142578125,165.0,1.115234375
2015-08-14T09:01:00.000000Z,1.1142578125,1.1142578125,107.0,1.1142578125
2015-08-14T09:02:00.000000Z,1.1142578125,1.1142578125,101.0,1.1142578125
2015-08-14T09:03:00.000000Z,1.1142578125,1.11328125,57.0,1.11328125
2015-08-14T09:04:00.000000Z,1.1142578125,1.11328125,87.0,1.11328125
2015-08-14T09:05:00.000000Z,1.11328125,1.11328125,82.0,1.11328125
2015-08-14T09:06:00.000000Z,1.1142578125,1.1142578125,69.0,1.1142578125
2015-08-14T09:07:00.000000Z,1.1142578125,1.1142578125,51.0,1.1142578125
2015-08-14T09:08:00.000000Z,1.1142578125,1.11328125,77.0,1.11328125
2015-08-14T09:09:00.000000Z,1.1142578125,1.11328125,38.0,1.11328125
2015-08-14T09:10:00.000000Z,1.11328125,1.11328125,80.0,1.11328125
2015-08-14T09:11:00.000000Z,1.11328125,1.11328125,22.0,1.11328125
2015-08-14T09:12:00.000000Z,1.11328125,1.11328125,55.0,1.11328125
2015-08-14T09:13:00.000000Z,1.1142578125,1.11328125,52.0,1.11328125
2015-08-14T09:14:00.000000Z,1.11328125,1.11328125,95.0,1.11328125
2015-08-14T09:15:00.000000Z,1.11328125,1.11328125,33.0,1.11328125
2015-08-14T09:16:00.000000Z,1.11328125,1.11328125,36.0,1.11328125
2015-08-14T09:17:00.000000Z,1.11328125,1.11328125,23.0,1.11328125
2015-08-14T09:18:00.000000Z,1.11328125,1.11328125,45.0,1.11328125
2015-08-14T09:19:00.000000Z,1.11328125,1.11328125,82.0,1.11328125
2015-08-14T09:20:00.000000Z,1.11328125,1.11328125,45.0,1.11328125
2015-08-14T09:21:00.000000Z,1.11328125,1.11328125,40.0,1.11328125
2015-08-14T09:22:00.000000Z,1.11328125,1.11328125,29.0,1.11328125
2015-08-14T09:23:00.000000Z,1.1142578125,1.11328125,88.0,1.11328125
2015-08-14T09:24:00.000000Z,1.1142578125,1.1142578125,41.0,1.1142578125
2015-08-14T09:25:00.000000Z,1.1142578125,1.1142578125,79.0,1.1142578125
2015-08-14T09:26:00.000000Z,1.1142578125,1.1142578125,94.0,1.1142578125
2015-08-14T09:27:00.000000Z,1.1142578125,1.1142578125,91.0,1.1142578125
2015-08-14T09:28:00.000000Z,1.1142578125,1.1142578125,78.0,1.1142578125
2015-08-14T09:29:00.000000Z,1.1142578125,1.1142578125,87.0,1.1142578125
2015-08-14T09:30:00.000000Z,1.1142578125,1.1142578125,140.0,1.1142578125
2015-08-14T09:31:00.000000Z,1.1142578125,1.1142578125,63.0,1.1142578125
2015-08-14T09:32:00.000000Z,1.1142578125,1.1142578125,137.0,1.1142578125
2015-08-14T09:33:00.000000Z,1.1142578125,1.1142578125,104.0,1.1142578125
2015-08-14T09:34:00.000000Z,1.1142578125,1.1142578125,129.0,1.1142578125
2015-08-14T09:35:00.000000Z,1.1142578125,1.1142578125,90.0,1.1142578125
2015-08-14T09:36:00.000000Z,1.1142578125,1.1142578125,47.0,1.1142578125
2015-08-14T09:37:00.000000Z,1.1142578125,1.1142578125,31.0,1.1142578125
2015-08-14T09:38:00.000000Z,1.1142578125,1.1142578125,117.0,1.1142578125
2015-08-14T09:39:00.000000Z,1.1142578125,1.1142578125,34.0,1.1142578125
2015-08-14T09:40:00.000000Z,1.1142578125,1.1142578125,59.0,1.1142578125
2015-08-14T09:41:00.000000Z,1.1142578125,1.1142578125,149.0,1.1142578125
2015-08-14T09:42:00.000000Z,1.115234375,1.1142578125,127.0,1.115234375
2015-08-14T09:43:00.000000Z,1.115234375,1.115234375,107.0,1.115234375
2015-08-14T09:44:00.000000Z,1.115234375,1.115234375,116.0,1.115234375
2015-08-14T09:45:00.000000Z,1.115234375,1.115234375,87.0,1.115234375
2015-08-14T09:46:00.000000Z,1.1162109375,1.115234375,106.0,1.115234375
2015-08-14T09:47:00.000000Z,1.115234375,1.115234375,81.0,1.115234375
2015-08-14T09:48:00.000000Z,1.115234375,1.115234375,103.0,1.115234375
2015-08-14T09:49:00.000000Z,1.1162109375,1.115234375,116.0,1.115234375
