name,chg,country,currencyCode,period,high,chgpcnt,low,time,prev,iyield
Canada 4Y,-0.001,Canada,Canada,4Y,0.571,-0.18,0.511,27/08,0.564,0.563
Canada 5Y,0.028,Canada,Canada,5Y,0.748,3.92,0.689,27/08,0.715,0.743
Canada 7Y,-0.009,Canada,Canada,7Y,1.069,-0.85,1.007,27/08,1.064,1.055
Canada 10Y,0.024,Canada,Canada,10Y,1.468,1.67,1.407,27/08,1.441,1.465
Canada 20Y,-0.009,Canada,Canada,20Y,2.185,-0.41,2.136,27/08,2.175,2.166
Canada 30Y,0.018,Canada,Canada,30Y,2.223,0.82,2.179,27/08,2.196,2.214
Chile 1M,0.000,Chile,Chile,1M,2.820,0.00,2.820,26/08,2.820,2.820
Chile 1Y,0.150,Chile,Chile,1Y,3.420,4.59,3.420,0:45:03,3.270,3.420
Chile 2Y,0.010,Chile,Chile,2Y,3.500,0.29,3.500,0:45:04,3.490,3.500
Chile 3Y,0.010,Chile,Chile,3Y,3.670,0.27,3.670,0:45:03,3.660,3.670
Chile 4Y,-0.010,Chile,Chile,4Y,3.850,-0.26,3.850,0:45:04,3.850,3.850
Chile 5Y,-0.020,Chile,Chile,5Y,4.020,-0.49,4.010,0:45:03,4.040,4.020
Chile 8Y,-0.010,Chile,Chile,8Y,4.230,-0.24,4.220,0:45:04,4.240,4.230
Chile 10Y,-0.010,Chile,Chile,10Y,4.420,-0.23,4.420,0:45:03,4.420,4.420
China 1Y,0.019,China,China,1Y,2.360,0.81,2.340,3:13:38,2.336,2.355
China 2Y,-0.001,China,China,2Y,2.610,-0.04,2.577,3:13:36,2.578,2.577
China 3Y,0.054,China,China,3Y,2.927,1.89,2.890,3:30:01,2.863,2.917
China 5Y,-0.023,China,China,5Y,3.225,-0.72,3.170,3:13:13,3.196,3.173
China 7Y,-0.060,China,China,7Y,3.505,-1.72,3.417,3:13:28,3.483,3.423
China 10Y,-0.040,China,China,10Y,3.443,-1.16,3.406,3:13:15,3.453,3.413
