name,chg,country,currencyCode,period,high,chgpcnt,low,time,prev,iyield
Thailand 1Y,-0.010,Thailand,Thailand,1Y,1.590,-0.63,1.580,3:10:06,1.590,1.580
Thailand 2Y,-0.010,Thailand,Thailand,2Y,1.520,-0.66,1.510,3:20:49,1.520,1.510
Thailand 5Y,0.000,Thailand,Thailand,5Y,2.130,0.00,2.110,3:13:55,2.130,2.130
Thailand 7Y,-0.030,Thailand,Thailand,7Y,2.740,-1.09,2.720,3:12:21,2.750,2.720
Thailand 10Y,-0.030,Thailand,Thailand,10Y,2.780,-1.07,2.770,3:10:25,2.800,2.770
Thailand 12Y,-0.030,Thailand,Thailand,12Y,3.130,-0.96,3.110,3:10:26,3.140,3.110
Thailand 14Y,0.010,Thailand,Thailand,14Y,3.180,0.32,3.150,3:13:47,3.170,3.180
Thailand 16Y,0.000,Thailand,Thailand,16Y,3.490,0.00,3.470,2:31:41,3.490,3.470
Thailand 18Y,0.000,Thailand,Thailand,18Y,3.540,0.00,3.520,2:31:42,3.540,3.520
Turkey 1Y,-0.050,Turkey,Turkey,1Y,9.950,-0.51,9.800,27/08,9.800,9.800
Turkey 2Y,-0.120,Turkey,Turkey,2Y,10.850,-1.11,10.660,27/08,10.810,10.690
Turkey 3Y,-0.060,Turkey,Turkey,3Y,10.630,-0.57,10.370,27/08,10.550,10.550
Turkey 5Y,-0.180,Turkey,Turkey,5Y,10.530,-1.73,10.150,27/08,10.380,10.200
Turkey 10Y,-0.070,Turkey,Turkey,10Y,10.150,-0.70,9.870,27/08,10.000,9.930
Uganda 3M,0.000,Uganda,Uganda,3M,15.000,0.00,15.000,0:08:20,15.000,15.000
Uganda 6M,0.000,Uganda,Uganda,6M,16.000,0.00,16.000,0:08:21,16.000,16.000
Uganda 1Y,0.000,Uganda,Uganda,1Y,15.930,0.00,15.930,0:08:17,15.930,15.930
Uganda 2Y,0.000,Uganda,Uganda,2Y,18.800,0.00,17.773,0:08:53,18.800,18.800
Uganda 3Y,-0.637,Uganda,Uganda,3Y,18.544,-3.44,17.907,0:07:56,18.544,17.907
Uganda 4Y,-0.585,Uganda,Uganda,4Y,18.524,-3.16,17.939,0:08:17,18.524,17.939
Uganda 5Y,-0.624,Uganda,Uganda,5Y,18.577,-3.36,17.953,0:07:52,18.577,17.953
Uganda 10Y,0.000,Uganda,Uganda,10Y,18.842,0.00,18.842,27/08,18.842,18.842
Ukraine 1Y,0.000,Ukraine,Ukraine,1Y,20.000,0.00,20.000,27/08,20.000,20.000
Ukraine 2Y,0.000,Ukraine,Ukraine,2Y,20.000,0.00,20.000,27/08,20.000,20.000
UK 1M Yield,-0.001,UK 1M,UK 1M,Yield,0.405,-0.25,0.405,27/08,0.405,0.405
UK 3M Yield,-0.001,UK 3M,UK 3M,Yield,0.477,0.00,0.477,27/08,0.477,0.477
UK 6M Yield,0.009,UK 6M,UK 6M,Yield,0.530,1.73,0.530,27/08,0.530,0.530
UK 1Y Yield,0.045,UK 1Y,UK 1Y,Yield,0.539,9.54,0.451,3:32:15,0.482,0.528
UK 2Y Yield,0.052,UK 2Y,UK 2Y,Yield,0.745,7.56,0.668,3:30:05,0.688,0.740
UK 3Y Yield,0.054,UK 3Y,UK 3Y,Yield,0.968,5.94,0.881,3:32:15,0.909,0.963
UK 4Y Yield,0.050,UK 4Y,UK 4Y,Yield,1.204,4.34,1.124,0:53:40,1.152,1.202
UK 5Y Yield,0.004,UK 5Y,UK 5Y,Yield,1.424,0.29,1.366,27/08,1.393,1.397
UK 6Y Yield,0.006,UK 6Y,UK 6Y,Yield,1.542,0.40,1.481,27/08,1.507,1.513
UK 7Y Yield,0.005,UK 7Y,UK 7Y,Yield,1.704,0.30,1.648,27/08,1.677,1.682
UK 8Y Yield,0.006,UK 8Y,UK 8Y,Yield,1.825,0.34,1.742,27/08,1.772,1.778
UK 9Y Yield,0.006,UK 9Y,UK 9Y,Yield,1.897,0.32,1.837,27/08,1.869,1.875
UK 10Y Yield,0.005,UK 10Y,UK 10Y,Yield,2.007,0.25,1.946,27/08,1.979,1.984
UK 15Y Yield,0.006,UK 15Y,UK 15Y,Yield,2.306,0.26,2.242,27/08,2.269,2.275
UK 20Y Yield,0.006,UK 20Y,UK 20Y,Yield,2.463,0.25,2.404,27/08,2.431,2.437
UK 25Y Yield,0.006,UK 25Y,UK 25Y,Yield,2.569,0.24,2.513,27/08,2.542,2.548
UK 30Y Yield,0.005,UK 30Y,UK 30Y,Yield,2.606,0.19,2.549,27/08,2.577,2.582
UK 40Y Yield,0.006,UK 40Y,UK 40Y,Yield,2.483,0.20,2.424,27/08,2.450,2.455
UK 50Y Yield,0.006,UK 50Y,UK 50Y,Yield,2.481,0.20,2.421,27/08,2.450,2.455
US 1M Yield,0.003,US 1M,US 1M,Yield,0.015,27.00,0.010,0:50:59,0.010,0.013
US 3M Yield,-0.002,US 3M,US 3M,Yield,0.056,-3.62,0.056,27/08,0.058,0.056
US 6M Yield,-0.000,US 6M,US 6M,Yield,0.209,-0.19,0.206,0:32:44,0.209,0.209
US 1Y Yield,-0.000,US 1Y,US 1Y,Yield,0.352,-0.03,0.352,27/08,0.352,0.352
US 2Y Yield,0.004,US 2Y,US 2Y,Yield,0.703,0.56,0.688,1:58:24,0.684,0.688
US 3Y Yield,0.008,US 3Y,US 3Y,Yield,1.003,0.78,0.984,2:59:59,0.979,0.987
US 5Y Yield,0.011,US 5Y,US 5Y,Yield,1.512,0.77,1.492,3:32:24,1.484,1.495
US 7Y Yield,0.011,US 7Y,US 7Y,Yield,1.925,0.57,1.899,3:34:16,1.893,1.904
US 10Y Yield,0.011,US 10Y,US 10Y,Yield,2.197,0.51,2.174,3:30:02,2.166,2.177
US 30Y Yield,0.009,US 30Y,US 30Y,Yield,2.936,0.31,2.910,3:32:36,2.902,2.911
Venezuela 1Y,-1.767,Venezuela,Venezuela,1Y,67.956,-3.24,62.646,1:45:04,64.807,64.807
Venezuela 5Y,-2.460,Venezuela,Venezuela,5Y,36.963,-7.13,35.058,2:15:05,37.751,35.058
Venezuela 15Y,-0.176,Venezuela,Venezuela,15Y,26.222,-0.67,26.222,2:00:05,26.399,26.222
Venezuela 20Y,-0.497,Venezuela,Venezuela,20Y,27.829,-1.75,27.829,2:00:05,28.326,27.829
Vietnam 1Y,0.000,Vietnam,Vietnam,1Y,5.073,0.00,5.073,0:08:01,5.073,5.073
Vietnam 2Y,0.000,Vietnam,Vietnam,2Y,5.427,0.00,5.427,0:08:25,5.427,5.427
Vietnam 3Y,0.000,Vietnam,Vietnam,3Y,5.735,0.00,5.735,0:08:03,5.735,5.735
Vietnam 5Y,0,Vietnam,Vietnam,5Y,6.425,0,6.425,0:08:26,6.425,6.425
Vietnam 7Y,0.000,Vietnam,Vietnam,7Y,6.843,0.00,6.843,0:08:03,6.843,6.843
Vietnam 10Y,0,Vietnam,Vietnam,10Y,7.023,0,7.023,0:08:26,7.023,7.023
