time,closeAsk,closeBid,volume,BNP.USDSAR - USD/SAR_x
2015-07-08T13:05:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:06:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:07:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:08:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T13:09:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:10:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T13:11:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:12:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T13:13:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:14:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:15:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:16:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:17:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:18:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:19:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:20:00.000000Z,3.755859375,3.74609375,6.0,3.7509765625
2015-07-08T13:21:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:22:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:23:00.000000Z,3.755859375,3.74609375,7.0,3.7509765625
2015-07-08T13:24:00.000000Z,3.751953125,3.75,8.0,3.7509765625
2015-07-08T13:25:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:26:00.000000Z,3.755859375,3.74609375,9.0,3.7509765625
2015-07-08T13:27:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:28:00.000000Z,3.751953125,3.75,8.0,3.7509765625
2015-07-08T13:29:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:30:00.000000Z,3.755859375,3.74609375,9.0,3.7509765625
2015-07-08T13:31:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:32:00.000000Z,3.751953125,3.75,4.0,3.7509765625
2015-07-08T13:33:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:34:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:35:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:36:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:37:00.000000Z,3.751953125,3.75,9.0,3.7509765625
2015-07-08T13:38:00.000000Z,3.751953125,3.75,7.0,3.7509765625
2015-07-08T13:39:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:40:00.000000Z,3.751953125,3.75,5.0,3.7509765625
2015-07-08T13:41:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:42:00.000000Z,3.751953125,3.75,6.0,3.7509765625
2015-07-08T13:43:00.000000Z,3.751953125,3.75,5.0,3.7509765625
