time,closeAsk,closeBid,volume,BNP.USDCNH - USD/CNH_x
2015-08-04T22:02:00.000000Z,6.22265625,6.21875,15.0,6.220703125
2015-08-04T22:03:00.000000Z,6.22265625,6.21875,53.0,6.220703125
2015-08-04T22:04:00.000000Z,6.22265625,6.21875,4.0,6.220703125
2015-08-04T22:05:00.000000Z,6.22265625,6.21875,2.0,6.220703125
2015-08-04T22:06:00.000000Z,6.22265625,6.21875,24.0,6.220703125
2015-08-04T22:08:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T22:13:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T22:14:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T22:15:00.000000Z,6.22265625,6.21875,95.0,6.220703125
2015-08-04T22:16:00.000000Z,6.22265625,6.21875,90.0,6.220703125
2015-08-04T22:17:00.000000Z,6.22265625,6.21875,72.0,6.220703125
2015-08-04T22:18:00.000000Z,6.22265625,6.21875,127.0,6.220703125
2015-08-04T22:20:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T22:22:00.000000Z,6.22265625,6.21875,2.0,6.220703125
2015-08-04T22:25:00.000000Z,6.22265625,6.21875,32.0,6.220703125
2015-08-04T22:26:00.000000Z,6.22265625,6.21875,328.0,6.220703125
2015-08-04T22:27:00.000000Z,6.22265625,6.21875,334.0,6.220703125
2015-08-04T22:28:00.000000Z,6.22265625,6.21875,93.0,6.220703125
2015-08-04T22:29:00.000000Z,6.22265625,6.21875,6.0,6.220703125
2015-08-04T22:30:00.000000Z,6.22265625,6.21875,159.0,6.220703125
2015-08-04T22:31:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T22:33:00.000000Z,6.22265625,6.21875,1.0,6.220703125
2015-08-04T22:34:00.000000Z,6.22265625,6.21875,2.0,6.220703125
2015-08-04T22:35:00.000000Z,6.22265625,6.22265625,92.0,6.22265625
2015-08-04T22:36:00.000000Z,6.22265625,6.22265625,5.0,6.22265625
2015-08-04T22:37:00.000000Z,6.22265625,6.22265625,75.0,6.22265625
2015-08-04T22:38:00.000000Z,6.22265625,6.22265625,7.0,6.22265625
