time,closeAsk,closeBid,volume,BNP.EURTRY - EUR/TRY_x
2015-08-14T10:40:00.000000Z,3.169921875,3.16796875,116.0,3.16796875
2015-08-14T10:41:00.000000Z,3.171875,3.169921875,254.0,3.171875
2015-08-14T10:42:00.000000Z,3.171875,3.169921875,177.0,3.171875
2015-08-14T10:43:00.000000Z,3.173828125,3.171875,131.0,3.171875
2015-08-14T10:44:00.000000Z,3.171875,3.169921875,98.0,3.171875
2015-08-14T10:45:00.000000Z,3.171875,3.169921875,69.0,3.171875
2015-08-14T10:46:00.000000Z,3.171875,3.169921875,110.0,3.171875
2015-08-14T10:47:00.000000Z,3.171875,3.169921875,121.0,3.171875
2015-08-14T10:48:00.000000Z,3.171875,3.169921875,96.0,3.171875
2015-08-14T10:49:00.000000Z,3.173828125,3.171875,105.0,3.171875
2015-08-14T10:50:00.000000Z,3.173828125,3.171875,157.0,3.171875
2015-08-14T10:51:00.000000Z,3.171875,3.171875,143.0,3.171875
2015-08-14T10:52:00.000000Z,3.173828125,3.171875,190.0,3.171875
2015-08-14T10:53:00.000000Z,3.173828125,3.171875,115.0,3.171875
2015-08-14T10:54:00.000000Z,3.173828125,3.171875,203.0,3.171875
2015-08-14T10:55:00.000000Z,3.173828125,3.171875,105.0,3.171875
2015-08-14T10:56:00.000000Z,3.17578125,3.173828125,268.0,3.17578125
2015-08-14T10:57:00.000000Z,3.17578125,3.173828125,89.0,3.17578125
2015-08-14T10:58:00.000000Z,3.17578125,3.173828125,134.0,3.17578125
2015-08-14T10:59:00.000000Z,3.17578125,3.173828125,254.0,3.17578125
2015-08-14T11:00:00.000000Z,3.17578125,3.173828125,253.0,3.17578125
2015-08-14T11:01:00.000000Z,3.17578125,3.173828125,101.0,3.17578125
2015-08-14T11:02:00.000000Z,3.173828125,3.173828125,201.0,3.173828125
2015-08-14T11:03:00.000000Z,3.173828125,3.171875,243.0,3.171875
2015-08-14T11:04:00.000000Z,3.171875,3.169921875,308.0,3.171875
2015-08-14T11:05:00.000000Z,3.171875,3.171875,242.0,3.171875
2015-08-14T11:06:00.000000Z,3.171875,3.169921875,325.0,3.171875
2015-08-14T11:07:00.000000Z,3.169921875,3.169921875,280.0,3.169921875
2015-08-14T11:08:00.000000Z,3.171875,3.169921875,230.0,3.171875
2015-08-14T11:09:00.000000Z,3.171875,3.171875,254.0,3.171875
2015-08-14T11:10:00.000000Z,3.173828125,3.171875,306.0,3.171875
2015-08-14T11:11:00.000000Z,3.173828125,3.171875,351.0,3.171875
2015-08-14T11:12:00.000000Z,3.173828125,3.171875,197.0,3.171875
2015-08-14T11:13:00.000000Z,3.171875,3.171875,140.0,3.171875
2015-08-14T11:14:00.000000Z,3.173828125,3.171875,107.0,3.171875
2015-08-14T11:15:00.000000Z,3.173828125,3.171875,103.0,3.171875
2015-08-14T11:16:00.000000Z,3.17578125,3.173828125,113.0,3.17578125
2015-08-14T11:17:00.000000Z,3.17578125,3.173828125,154.0,3.17578125
2015-08-14T11:18:00.000000Z,3.17578125,3.173828125,151.0,3.17578125
2015-08-14T11:19:00.000000Z,3.17578125,3.173828125,258.0,3.17578125
2015-08-14T11:20:00.000000Z,3.173828125,3.173828125,141.0,3.173828125
2015-08-14T11:21:00.000000Z,3.17578125,3.173828125,110.0,3.17578125
2015-08-14T11:22:00.000000Z,3.17578125,3.173828125,245.0,3.17578125
2015-08-14T11:23:00.000000Z,3.17578125,3.173828125,113.0,3.17578125
2015-08-14T11:24:00.000000Z,3.173828125,3.171875,259.0,3.171875
2015-08-14T11:25:00.000000Z,3.171875,3.171875,81.0,3.171875
2015-08-14T11:26:00.000000Z,3.173828125,3.171875,195.0,3.171875
2015-08-14T11:27:00.000000Z,3.173828125,3.171875,182.0,3.171875
2015-08-14T11:28:00.000000Z,3.171875,3.169921875,173.0,3.171875
2015-08-14T11:29:00.000000Z,3.171875,3.169921875,91.0,3.171875
2015-08-14T11:30:00.000000Z,3.171875,3.169921875,261.0,3.171875
2015-08-14T11:31:00.000000Z,3.169921875,3.16796875,268.0,3.16796875
2015-08-14T11:32:00.000000Z,3.169921875,3.16796875,125.0,3.16796875
2015-08-14T11:33:00.000000Z,3.169921875,3.169921875,112.0,3.169921875
2015-08-14T11:34:00.000000Z,3.169921875,3.16796875,187.0,3.16796875
2015-08-14T11:35:00.000000Z,3.16796875,3.16796875,252.0,3.16796875
2015-08-14T11:36:00.000000Z,3.16796875,3.166015625,108.0,3.16796875
2015-08-14T11:37:00.000000Z,3.16796875,3.16796875,144.0,3.16796875
2015-08-14T11:38:00.000000Z,3.16796875,3.166015625,150.0,3.16796875
2015-08-14T11:39:00.000000Z,3.16796875,3.166015625,169.0,3.16796875
2015-08-14T11:40:00.000000Z,3.16796875,3.166015625,177.0,3.16796875
2015-08-14T11:41:00.000000Z,3.16796875,3.166015625,109.0,3.16796875
2015-08-14T11:42:00.000000Z,3.16796875,3.166015625,135.0,3.16796875
2015-08-14T11:43:00.000000Z,3.16796875,3.166015625,115.0,3.16796875
2015-08-14T11:44:00.000000Z,3.166015625,3.166015625,201.0,3.166015625
2015-08-14T11:45:00.000000Z,3.166015625,3.1640625,199.0,3.1640625
2015-08-14T11:46:00.000000Z,3.166015625,3.1640625,195.0,3.1640625
2015-08-14T11:47:00.000000Z,3.166015625,3.1640625,129.0,3.1640625
2015-08-14T11:48:00.000000Z,3.166015625,3.166015625,229.0,3.166015625
2015-08-14T11:49:00.000000Z,3.166015625,3.1640625,147.0,3.1640625
2015-08-14T11:50:00.000000Z,3.166015625,3.1640625,106.0,3.1640625
2015-08-14T11:51:00.000000Z,3.166015625,3.1640625,48.0,3.1640625
2015-08-14T11:52:00.000000Z,3.166015625,3.1640625,139.0,3.1640625
2015-08-14T11:53:00.000000Z,3.166015625,3.166015625,169.0,3.166015625
2015-08-14T11:54:00.000000Z,3.166015625,3.166015625,59.0,3.166015625
2015-08-14T11:55:00.000000Z,3.166015625,3.1640625,83.0,3.1640625
2015-08-14T11:56:00.000000Z,3.166015625,3.166015625,66.0,3.166015625
2015-08-14T11:57:00.000000Z,3.166015625,3.166015625,67.0,3.166015625
2015-08-14T11:58:00.000000Z,3.16796875,3.166015625,132.0,3.16796875
2015-08-14T11:59:00.000000Z,3.166015625,3.166015625,124.0,3.166015625
2015-08-14T12:00:00.000000Z,3.166015625,3.166015625,230.0,3.166015625
2015-08-14T12:01:00.000000Z,3.166015625,3.166015625,111.0,3.166015625
