time,BNP.CADSGD - CAD/SGD_x,closeAsk,closeBid,volume
2015-06-02T03:15:00.000000Z,1.0830078125,1.0830078125,1.0830078125,362.0
2015-06-02T03:30:00.000000Z,1.0830078125,1.0830078125,1.0830078125,429.0
2015-06-02T03:45:00.000000Z,1.08203125,1.0830078125,1.08203125,362.0
2015-06-02T04:00:00.000000Z,1.08203125,1.0830078125,1.08203125,376.0
2015-06-02T04:15:00.000000Z,1.08203125,1.0830078125,1.08203125,344.0
2015-06-02T04:30:00.000000Z,1.08203125,1.08203125,1.08203125,1380.0
2015-06-02T04:45:00.000000Z,1.0830078125,1.0830078125,1.0830078125,1061.0
2015-06-02T05:00:00.000000Z,1.0830078125,1.0830078125,1.0830078125,613.0
2015-06-02T05:15:00.000000Z,1.08203125,1.0830078125,1.08203125,766.0
2015-06-02T05:30:00.000000Z,1.0830078125,1.0830078125,1.0830078125,719.0
2015-06-02T05:45:00.000000Z,1.083984375,1.083984375,1.0830078125,384.0
2015-06-02T06:00:00.000000Z,1.0830078125,1.0830078125,1.0830078125,791.0
2015-06-02T06:15:00.000000Z,1.083984375,1.083984375,1.0830078125,814.0
2015-06-02T06:30:00.000000Z,1.0830078125,1.0830078125,1.0830078125,687.0
2015-06-02T06:45:00.000000Z,1.083984375,1.083984375,1.0830078125,982.0
2015-06-02T07:00:00.000000Z,1.083984375,1.083984375,1.0830078125,972.0
2015-06-02T07:15:00.000000Z,1.083984375,1.083984375,1.083984375,1202.0
2015-06-02T07:30:00.000000Z,1.083984375,1.0849609375,1.083984375,856.0
2015-06-02T07:45:00.000000Z,1.083984375,1.083984375,1.083984375,838.0
2015-06-02T08:00:00.000000Z,1.083984375,1.0849609375,1.083984375,1025.0
2015-06-02T08:15:00.000000Z,1.0859375,1.0859375,1.0849609375,809.0
2015-06-02T08:30:00.000000Z,1.0849609375,1.0849609375,1.0849609375,676.0
2015-06-02T08:45:00.000000Z,1.083984375,1.083984375,1.083984375,905.0
2015-06-02T09:00:00.000000Z,1.083984375,1.083984375,1.0830078125,1099.0
2015-06-02T09:15:00.000000Z,1.08203125,1.0830078125,1.08203125,1009.0
2015-06-02T09:30:00.000000Z,1.08203125,1.0830078125,1.08203125,1020.0
2015-06-02T09:45:00.000000Z,1.08203125,1.0830078125,1.08203125,988.0
2015-06-02T10:00:00.000000Z,1.08203125,1.0830078125,1.08203125,1265.0
2015-06-02T10:15:00.000000Z,1.08203125,1.08203125,1.08203125,1316.0
2015-06-02T10:30:00.000000Z,1.08203125,1.08203125,1.08203125,1072.0
2015-06-02T10:45:00.000000Z,1.08203125,1.0830078125,1.08203125,660.0
