time,BNP.USDTWD - USD/TWD_x,closeAsk,closeBid
2012-05-31T05:00:00.000000Z,29.832500000000003,29.8775,29.7875
2012-05-31T13:00:00.000000Z,29.8825,29.9375,29.8275
2012-05-31T17:00:00.000000Z,29.8825,29.9575,29.8075
2012-05-31T21:00:00.000000Z,29.8825,29.9575,29.8075
2012-06-01T01:00:00.000000Z,29.915,29.955,29.875
2012-06-01T05:00:00.000000Z,29.915,29.965,29.865
2012-06-01T09:00:00.000000Z,30.005,30.055,29.955
2012-06-01T13:00:00.000000Z,29.96,30.015,29.905
2012-06-01T17:00:00.000000Z,29.96,30.06,29.86
2012-06-01T21:00:00.000000Z,29.96,30.06,29.86
2012-06-03T17:00:00.000000Z,29.96,30.06,29.86
2012-06-03T21:00:00.000000Z,29.96,30.06,29.86
2012-06-04T01:00:00.000000Z,30.03,30.08,29.98
2012-06-04T05:00:00.000000Z,30.05,30.09,30.01
2012-06-04T13:00:00.000000Z,29.98,30.02,29.94
2012-06-04T17:00:00.000000Z,29.98,30.055,29.905
2012-06-04T21:00:00.000000Z,29.98,30.055,29.905
2012-06-05T01:00:00.000000Z,29.955,30.03,29.88
2012-06-05T05:00:00.000000Z,29.98,30.02,29.94
2012-06-05T13:00:00.000000Z,29.95,29.99,29.91
2012-06-05T17:00:00.000000Z,29.95,30.025,29.875
2012-06-05T21:00:00.000000Z,29.95,30.025,29.875
2012-06-06T01:00:00.000000Z,29.880000000000003,29.92,29.84
2012-06-06T05:00:00.000000Z,29.865,29.905,29.825
2012-06-06T09:00:00.000000Z,29.865,29.885,29.845
2012-06-06T13:00:00.000000Z,29.82,29.86,29.78
2012-06-06T17:00:00.000000Z,29.81,29.885,29.735
2012-06-06T21:00:00.000000Z,29.81,29.885,29.735
2012-06-07T01:00:00.000000Z,29.84,29.88,29.8
2012-06-07T05:00:00.000000Z,29.8625,29.9025,29.8225
2012-06-07T09:00:00.000000Z,29.8225,29.8625,29.7825
2012-06-07T13:00:00.000000Z,29.8125,29.8525,29.7725
2012-06-07T17:00:00.000000Z,29.79,29.865,29.715
2012-06-08T01:00:00.000000Z,29.935,29.975,29.895
2012-06-08T05:00:00.000000Z,29.9525,29.9925,29.9125
2012-06-08T09:00:00.000000Z,29.97,30.01,29.93
2012-06-08T13:00:00.000000Z,29.965000000000003,30.01,29.92
2012-06-08T17:00:00.000000Z,29.915,30.015,29.815
2012-06-08T21:00:00.000000Z,29.915,30.015,29.815
