time,closeAsk,closeBid,volume,BNP.USDHKD - USD/HKD_x
2015-08-11T20:57:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T20:59:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T21:02:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T21:04:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T21:05:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T21:12:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T21:13:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T21:15:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T21:16:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T21:30:00.000000Z,7.76171875,7.76171875,11.0,7.76171875
2015-08-11T21:31:00.000000Z,7.76171875,7.76171875,7.0,7.76171875
2015-08-11T21:44:00.000000Z,7.76171875,7.76171875,18.0,7.76171875
2015-08-11T21:45:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T21:50:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T22:00:00.000000Z,7.76171875,7.76171875,48.0,7.76171875
2015-08-11T22:01:00.000000Z,7.76171875,7.7578125,60.0,7.7578125
2015-08-11T22:02:00.000000Z,7.76171875,7.7578125,2.0,7.7578125
2015-08-11T22:03:00.000000Z,7.76171875,7.7578125,2.0,7.7578125
2015-08-11T22:24:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-11T22:27:00.000000Z,7.76171875,7.7578125,2.0,7.7578125
2015-08-11T22:28:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-11T22:33:00.000000Z,7.76171875,7.7578125,18.0,7.7578125
2015-08-11T22:34:00.000000Z,7.76171875,7.76171875,65.0,7.76171875
2015-08-11T22:35:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T22:37:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T22:38:00.000000Z,7.76171875,7.76171875,97.0,7.76171875
2015-08-11T22:39:00.000000Z,7.76171875,7.76171875,6.0,7.76171875
2015-08-11T22:40:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T22:44:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T22:57:00.000000Z,7.76171875,7.76171875,13.0,7.76171875
2015-08-11T22:58:00.000000Z,7.76171875,7.76171875,17.0,7.76171875
2015-08-11T22:59:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T23:00:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:03:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T23:04:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T23:05:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:06:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:07:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:08:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:09:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:10:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:11:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:12:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:13:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:14:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:15:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:16:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:17:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:18:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:19:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T23:20:00.000000Z,7.76171875,7.76171875,54.0,7.76171875
2015-08-11T23:21:00.000000Z,7.76171875,7.76171875,33.0,7.76171875
2015-08-11T23:22:00.000000Z,7.76171875,7.76171875,38.0,7.76171875
2015-08-11T23:23:00.000000Z,7.76171875,7.76171875,49.0,7.76171875
2015-08-11T23:26:00.000000Z,7.76171875,7.76171875,3.0,7.76171875
2015-08-11T23:27:00.000000Z,7.76171875,7.76171875,31.0,7.76171875
2015-08-11T23:28:00.000000Z,7.76171875,7.76171875,13.0,7.76171875
2015-08-11T23:29:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T23:30:00.000000Z,7.76171875,7.76171875,15.0,7.76171875
2015-08-11T23:31:00.000000Z,7.76171875,7.76171875,13.0,7.76171875
2015-08-11T23:40:00.000000Z,7.76171875,7.76171875,16.0,7.76171875
2015-08-11T23:41:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:42:00.000000Z,7.76171875,7.76171875,13.0,7.76171875
2015-08-11T23:44:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T23:45:00.000000Z,7.76171875,7.76171875,53.0,7.76171875
2015-08-11T23:46:00.000000Z,7.76171875,7.76171875,59.0,7.76171875
2015-08-11T23:47:00.000000Z,7.76171875,7.76171875,2.0,7.76171875
2015-08-11T23:48:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-11T23:49:00.000000Z,7.76171875,7.76171875,9.0,7.76171875
2015-08-11T23:51:00.000000Z,7.76171875,7.76171875,14.0,7.76171875
2015-08-11T23:52:00.000000Z,7.76171875,7.76171875,19.0,7.76171875
2015-08-11T23:54:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-11T23:55:00.000000Z,7.76171875,7.7578125,104.0,7.7578125
2015-08-11T23:56:00.000000Z,7.7578125,7.7578125,26.0,7.7578125
2015-08-11T23:57:00.000000Z,7.7578125,7.7578125,19.0,7.7578125
2015-08-11T23:58:00.000000Z,7.7578125,7.7578125,13.0,7.7578125
2015-08-11T23:59:00.000000Z,7.7578125,7.7578125,6.0,7.7578125
2015-08-12T00:00:00.000000Z,7.7578125,7.7578125,20.0,7.7578125
2015-08-12T00:01:00.000000Z,7.7578125,7.7578125,14.0,7.7578125
2015-08-12T00:02:00.000000Z,7.76171875,7.7578125,75.0,7.7578125
2015-08-12T00:03:00.000000Z,7.76171875,7.7578125,39.0,7.7578125
2015-08-12T00:04:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-12T00:05:00.000000Z,7.76171875,7.7578125,3.0,7.7578125
2015-08-12T00:09:00.000000Z,7.76171875,7.7578125,75.0,7.7578125
2015-08-12T00:11:00.000000Z,7.76171875,7.7578125,17.0,7.7578125
2015-08-12T00:14:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:16:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:17:00.000000Z,7.76171875,7.7578125,20.0,7.7578125
2015-08-12T00:18:00.000000Z,7.76171875,7.7578125,17.0,7.7578125
2015-08-12T00:19:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:22:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-12T00:26:00.000000Z,7.76171875,7.7578125,8.0,7.7578125
2015-08-12T00:27:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:28:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:30:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-12T00:31:00.000000Z,7.76171875,7.7578125,6.0,7.7578125
2015-08-12T00:32:00.000000Z,7.76171875,7.7578125,3.0,7.7578125
2015-08-12T00:33:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:39:00.000000Z,7.76171875,7.7578125,18.0,7.7578125
2015-08-12T00:40:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-12T00:43:00.000000Z,7.76171875,7.7578125,3.0,7.7578125
2015-08-12T00:44:00.000000Z,7.76171875,7.7578125,9.0,7.7578125
2015-08-12T00:45:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:51:00.000000Z,7.76171875,7.7578125,1.0,7.7578125
2015-08-12T00:52:00.000000Z,7.76171875,7.7578125,4.0,7.7578125
2015-08-12T00:53:00.000000Z,7.76171875,7.7578125,5.0,7.7578125
2015-08-12T00:56:00.000000Z,7.76171875,7.7578125,3.0,7.7578125
2015-08-12T00:57:00.000000Z,7.76171875,7.7578125,17.0,7.7578125
2015-08-12T00:58:00.000000Z,7.76171875,7.7578125,6.0,7.7578125
2015-08-12T00:59:00.000000Z,7.76171875,7.76171875,23.0,7.76171875
2015-08-12T01:00:00.000000Z,7.76171875,7.76171875,13.0,7.76171875
2015-08-12T01:01:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-12T01:02:00.000000Z,7.76171875,7.76171875,1.0,7.76171875
2015-08-12T01:03:00.000000Z,7.76171875,7.76171875,10.0,7.76171875
2015-08-12T01:04:00.000000Z,7.76171875,7.76171875,14.0,7.76171875
2015-08-12T01:05:00.000000Z,7.76171875,7.76171875,18.0,7.76171875
2015-08-12T01:06:00.000000Z,7.76171875,7.76171875,19.0,7.76171875
2015-08-12T01:07:00.000000Z,7.76171875,7.76171875,4.0,7.76171875
2015-08-12T01:08:00.000000Z,7.76171875,7.7578125,27.0,7.7578125
2015-08-12T01:09:00.000000Z,7.76171875,7.7578125,5.0,7.7578125
2015-08-12T01:10:00.000000Z,7.76171875,7.7578125,2.0,7.7578125
2015-08-12T01:11:00.000000Z,7.76171875,7.7578125,5.0,7.7578125
2015-08-12T01:12:00.000000Z,7.7578125,7.7578125,156.0,7.7578125
2015-08-12T01:15:00.000000Z,7.7578125,7.7578125,147.0,7.7578125
2015-08-12T01:16:00.000000Z,7.76171875,7.7578125,39.0,7.7578125
2015-08-12T01:17:00.000000Z,7.76171875,7.76171875,328.0,7.76171875
2015-08-12T01:18:00.000000Z,7.765625,7.76171875,65.0,7.765625
2015-08-12T01:19:00.000000Z,7.76171875,7.76171875,70.0,7.76171875
2015-08-12T01:20:00.000000Z,7.76171875,7.76171875,20.0,7.76171875
2015-08-12T01:21:00.000000Z,7.76171875,7.76171875,9.0,7.76171875
2015-08-12T01:22:00.000000Z,7.765625,7.76171875,60.0,7.765625
2015-08-12T01:23:00.000000Z,7.765625,7.76171875,13.0,7.765625
2015-08-12T01:24:00.000000Z,7.76171875,7.76171875,82.0,7.76171875
2015-08-12T01:25:00.000000Z,7.76171875,7.76171875,34.0,7.76171875
2015-08-12T01:26:00.000000Z,7.765625,7.76171875,41.0,7.765625
2015-08-12T01:27:00.000000Z,7.765625,7.76171875,135.0,7.765625
2015-08-12T01:28:00.000000Z,7.765625,7.76171875,15.0,7.765625
2015-08-12T01:29:00.000000Z,7.765625,7.76171875,1.0,7.765625
2015-08-12T01:30:00.000000Z,7.76171875,7.76171875,76.0,7.76171875
2015-08-12T01:31:00.000000Z,7.765625,7.76171875,48.0,7.765625
2015-08-12T01:32:00.000000Z,7.765625,7.76171875,24.0,7.765625
2015-08-12T01:33:00.000000Z,7.765625,7.76171875,20.0,7.765625
2015-08-12T01:34:00.000000Z,7.765625,7.765625,95.0,7.765625
2015-08-12T01:35:00.000000Z,7.765625,7.765625,58.0,7.765625
2015-08-12T01:36:00.000000Z,7.765625,7.765625,26.0,7.765625
2015-08-12T01:37:00.000000Z,7.765625,7.765625,198.0,7.765625
2015-08-12T01:38:00.000000Z,7.765625,7.765625,255.0,7.765625
2015-08-12T01:39:00.000000Z,7.765625,7.765625,217.0,7.765625
2015-08-12T01:40:00.000000Z,7.765625,7.765625,30.0,7.765625
2015-08-12T01:41:00.000000Z,7.765625,7.765625,31.0,7.765625
2015-08-12T01:42:00.000000Z,7.765625,7.76171875,207.0,7.765625
2015-08-12T01:43:00.000000Z,7.76171875,7.76171875,230.0,7.76171875
2015-08-12T01:44:00.000000Z,7.76171875,7.76171875,105.0,7.76171875
2015-08-12T01:45:00.000000Z,7.76171875,7.76171875,48.0,7.76171875
2015-08-12T01:46:00.000000Z,7.76171875,7.76171875,36.0,7.76171875
2015-08-12T01:47:00.000000Z,7.76171875,7.76171875,101.0,7.76171875
2015-08-12T01:48:00.000000Z,7.76171875,7.76171875,30.0,7.76171875
2015-08-12T01:49:00.000000Z,7.76171875,7.7578125,175.0,7.7578125
2015-08-12T01:50:00.000000Z,7.76171875,7.7578125,9.0,7.7578125
2015-08-12T01:51:00.000000Z,7.76171875,7.7578125,43.0,7.7578125
2015-08-12T01:52:00.000000Z,7.7578125,7.7578125,96.0,7.7578125
2015-08-12T01:53:00.000000Z,7.7578125,7.7578125,64.0,7.7578125
2015-08-12T01:54:00.000000Z,7.7578125,7.7578125,3.0,7.7578125
2015-08-12T01:55:00.000000Z,7.7578125,7.7578125,13.0,7.7578125
2015-08-12T01:56:00.000000Z,7.7578125,7.7578125,3.0,7.7578125
2015-08-12T01:57:00.000000Z,7.7578125,7.7578125,10.0,7.7578125
2015-08-12T01:58:00.000000Z,7.7578125,7.7578125,13.0,7.7578125
2015-08-12T01:59:00.000000Z,7.7578125,7.7578125,76.0,7.7578125
2015-08-12T02:00:00.000000Z,7.7578125,7.7578125,22.0,7.7578125
2015-08-12T02:01:00.000000Z,7.7578125,7.7578125,2.0,7.7578125
2015-08-12T02:02:00.000000Z,7.7578125,7.7578125,62.0,7.7578125
2015-08-12T02:03:00.000000Z,7.7578125,7.7578125,19.0,7.7578125
2015-08-12T02:04:00.000000Z,7.7578125,7.7578125,75.0,7.7578125
2015-08-12T02:05:00.000000Z,7.7578125,7.7578125,187.0,7.7578125
2015-08-12T02:06:00.000000Z,7.7578125,7.7578125,23.0,7.7578125
2015-08-12T02:07:00.000000Z,7.7578125,7.7578125,59.0,7.7578125
2015-08-12T02:08:00.000000Z,7.7578125,7.7578125,35.0,7.7578125
2015-08-12T02:09:00.000000Z,7.7578125,7.7578125,27.0,7.7578125
2015-08-12T02:10:00.000000Z,7.7578125,7.7578125,5.0,7.7578125
2015-08-12T02:11:00.000000Z,7.7578125,7.7578125,11.0,7.7578125
2015-08-12T02:12:00.000000Z,7.7578125,7.7578125,35.0,7.7578125
