time,BNP.CHFHKD - CHF/HKD_x,closeAsk,closeBid,volume
2015-05-28T15:30:00.000000Z,8.203125,8.203125,8.1953125,355.0
2015-05-28T15:45:00.000000Z,8.1953125,8.1953125,8.1953125,357.0
2015-05-28T16:00:00.000000Z,8.203125,8.203125,8.203125,696.0
2015-05-28T16:15:00.000000Z,8.203125,8.203125,8.203125,282.0
2015-05-28T16:30:00.000000Z,8.203125,8.203125,8.1953125,190.0
2015-05-28T16:45:00.000000Z,8.2109375,8.2109375,8.2109375,374.0
2015-05-28T17:00:00.000000Z,8.21875,8.21875,8.2109375,393.0
2015-05-28T17:15:00.000000Z,8.2265625,8.2265625,8.2265625,296.0
2015-05-28T17:30:00.000000Z,8.21875,8.21875,8.21875,391.0
2015-05-28T17:45:00.000000Z,8.21875,8.21875,8.21875,278.0
2015-05-28T18:00:00.000000Z,8.2109375,8.2109375,8.2109375,237.0
2015-05-28T18:15:00.000000Z,8.2109375,8.2109375,8.2109375,153.0
2015-05-28T18:30:00.000000Z,8.21875,8.2265625,8.21875,155.0
2015-05-28T18:45:00.000000Z,8.2265625,8.2265625,8.2265625,258.0
2015-05-28T19:00:00.000000Z,8.21875,8.21875,8.2109375,289.0
2015-05-28T19:15:00.000000Z,8.21875,8.21875,8.21875,254.0
2015-05-28T19:30:00.000000Z,8.21875,8.21875,8.2109375,87.0
2015-05-28T19:45:00.000000Z,8.2109375,8.2109375,8.2109375,150.0
2015-05-28T20:00:00.000000Z,8.2109375,8.2109375,8.2109375,166.0
2015-05-28T20:15:00.000000Z,8.21875,8.21875,8.2109375,123.0
2015-05-28T20:30:00.000000Z,8.2109375,8.2109375,8.2109375,29.0
2015-05-28T20:45:00.000000Z,8.21875,8.21875,8.2109375,84.0
2015-05-28T21:00:00.000000Z,8.21875,8.2265625,8.21875,415.0
2015-05-28T21:15:00.000000Z,8.21875,8.2265625,8.21875,73.0
2015-05-28T21:30:00.000000Z,8.21875,8.2265625,8.21875,173.0
2015-05-28T21:45:00.000000Z,8.21875,8.2265625,8.21875,122.0
2015-05-28T22:00:00.000000Z,8.21875,8.21875,8.2109375,83.0
2015-05-28T22:15:00.000000Z,8.2265625,8.2265625,8.2265625,82.0
2015-05-28T22:30:00.000000Z,8.2265625,8.2265625,8.2265625,270.0
2015-05-28T22:45:00.000000Z,8.2265625,8.2265625,8.2265625,23.0
2015-05-28T23:00:00.000000Z,8.2265625,8.2265625,8.2265625,74.0
2015-05-28T23:15:00.000000Z,8.2265625,8.2265625,8.2265625,1.0
2015-05-28T23:30:00.000000Z,8.2265625,8.2265625,8.2265625,27.0
2015-05-28T23:45:00.000000Z,8.21875,8.2265625,8.21875,46.0
2015-05-29T00:00:00.000000Z,8.21875,8.2265625,8.21875,110.0
2015-05-29T00:15:00.000000Z,8.21875,8.2265625,8.21875,131.0
2015-05-29T00:30:00.000000Z,8.21875,8.21875,8.21875,89.0
2015-05-29T00:45:00.000000Z,8.21875,8.2265625,8.21875,181.0
2015-05-29T01:00:00.000000Z,8.21875,8.2265625,8.21875,179.0
2015-05-29T01:15:00.000000Z,8.21875,8.2265625,8.21875,148.0
2015-05-29T01:30:00.000000Z,8.2265625,8.2265625,8.2265625,178.0
2015-05-29T01:45:00.000000Z,8.2265625,8.2265625,8.2265625,129.0
2015-05-29T02:00:00.000000Z,8.2265625,8.2265625,8.2265625,177.0
2015-05-29T02:15:00.000000Z,8.2265625,8.2265625,8.2265625,118.0
2015-05-29T02:30:00.000000Z,8.21875,8.2265625,8.21875,143.0
2015-05-29T02:45:00.000000Z,8.21875,8.2265625,8.21875,62.0
2015-05-29T03:00:00.000000Z,8.21875,8.2265625,8.21875,97.0
2015-05-29T03:15:00.000000Z,8.2265625,8.2265625,8.2265625,99.0
2015-05-29T03:30:00.000000Z,8.234375,8.234375,8.2265625,90.0
2015-05-29T03:45:00.000000Z,8.234375,8.234375,8.2265625,108.0
2015-05-29T04:00:00.000000Z,8.234375,8.234375,8.234375,115.0
2015-05-29T04:15:00.000000Z,8.234375,8.2421875,8.234375,72.0
2015-05-29T04:30:00.000000Z,8.234375,8.234375,8.234375,104.0
2015-05-29T04:45:00.000000Z,8.234375,8.234375,8.2265625,92.0
2015-05-29T05:00:00.000000Z,8.2265625,8.2265625,8.2265625,66.0
2015-05-29T05:15:00.000000Z,8.2265625,8.2265625,8.2265625,38.0
2015-05-29T05:30:00.000000Z,8.21875,8.2265625,8.21875,67.0
2015-05-29T05:45:00.000000Z,8.21875,8.21875,8.21875,147.0
2015-05-29T06:00:00.000000Z,8.21875,8.21875,8.2109375,300.0
2015-05-29T06:15:00.000000Z,8.203125,8.2109375,8.203125,389.0
2015-05-29T06:30:00.000000Z,8.203125,8.203125,8.203125,556.0
2015-05-29T06:45:00.000000Z,8.1875,8.1875,8.1796875,468.0
2015-05-29T07:00:00.000000Z,8.1953125,8.1953125,8.1953125,572.0
2015-05-29T07:15:00.000000Z,8.1953125,8.1953125,8.1953125,437.0
2015-05-29T07:30:00.000000Z,8.203125,8.2109375,8.203125,522.0
2015-05-29T07:45:00.000000Z,8.2109375,8.2109375,8.2109375,408.0
2015-05-29T08:00:00.000000Z,8.21875,8.21875,8.2109375,610.0
2015-05-29T08:15:00.000000Z,8.2109375,8.2109375,8.2109375,410.0
2015-05-29T08:30:00.000000Z,8.2109375,8.2109375,8.2109375,324.0
2015-05-29T08:45:00.000000Z,8.203125,8.2109375,8.203125,391.0
2015-05-29T09:00:00.000000Z,8.203125,8.2109375,8.203125,492.0
2015-05-29T09:15:00.000000Z,8.2265625,8.2265625,8.2265625,325.0
2015-05-29T09:30:00.000000Z,8.234375,8.234375,8.234375,449.0
2015-05-29T09:45:00.000000Z,8.2421875,8.2421875,8.2421875,401.0
2015-05-29T10:00:00.000000Z,8.234375,8.234375,8.234375,477.0
2015-05-29T10:15:00.000000Z,8.234375,8.234375,8.2265625,325.0
2015-05-29T10:30:00.000000Z,8.234375,8.234375,8.234375,424.0
2015-05-29T10:45:00.000000Z,8.234375,8.234375,8.234375,570.0
2015-05-29T11:00:00.000000Z,8.234375,8.234375,8.2265625,556.0
2015-05-29T11:15:00.000000Z,8.21875,8.2265625,8.21875,424.0
2015-05-29T11:30:00.000000Z,8.234375,8.234375,8.2265625,354.0
2015-05-29T11:45:00.000000Z,8.234375,8.234375,8.234375,322.0
2015-05-29T12:00:00.000000Z,8.2265625,8.2265625,8.2265625,362.0
2015-05-29T12:15:00.000000Z,8.25,8.2578125,8.234375,594.0
2015-05-29T12:30:00.000000Z,8.2421875,8.2421875,8.2421875,1441.0
2015-05-29T12:45:00.000000Z,8.2421875,8.2421875,8.2421875,585.0
2015-05-29T13:00:00.000000Z,8.2421875,8.2421875,8.2421875,603.0
2015-05-29T13:15:00.000000Z,8.2421875,8.2421875,8.2421875,465.0
2015-05-29T13:30:00.000000Z,8.25,8.2578125,8.25,615.0
2015-05-29T13:45:00.000000Z,8.28125,8.2890625,8.2734375,1089.0
2015-05-29T14:00:00.000000Z,8.265625,8.265625,8.265625,1141.0
2015-05-29T14:15:00.000000Z,8.2734375,8.2734375,8.2734375,507.0
2015-05-29T14:30:00.000000Z,8.265625,8.265625,8.265625,446.0
2015-05-29T14:45:00.000000Z,8.2109375,8.2109375,8.2109375,1089.0
