==========
Sat Sep 19 20:15:01 EDT 2015
{'name': 'USD/CAD', 'period': '5', 'summary': 'STRONG BUY'}
{'name': 'GBP/USD', 'period': '604800', 'summary': 'NEUTRAL'}
{'name': 'GBP/USD', 'period': '300', 'summary': 'STRONG BUY'}
{'name': 'GBP/USD', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'GBP/USD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'GBP/USD', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'EUR/USD', 'period': '604800', 'summary': 'NEUTRAL'}
{'name': 'GBP/USD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'EUR/USD', 'period': '1440', 'summary': 'STRONG BUY'}
{'name': 'EUR/USD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'EUR/USD', 'period': '300', 'summary': 'NEUTRAL'}
{'name': 'EUR/USD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'EUR/USD', 'period': '5', 'summary': 'NEUTRAL'}
{'name': 'EUR/CHF', 'period': '2678400', 'summary': 'SELL'}
{'name': 'EUR/CHF', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'EUR/CHF', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'EUR/CHF', 'period': '1440', 'summary': 'BUY'}
{'name': 'EUR/CHF', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'EUR/USD', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'EUR/CHF', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'EUR/CHF', 'period': '604800', 'summary': 'BUY'}
{'name': 'EUR/USD', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'AUD/USD', 'period': '30', 'summary': 'STRONG SELL'}
{'name': 'EUR/CHF', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'AUD/USD', 'period': '60', 'summary': 'STRONG SELL'}
{'name': 'AUD/USD', 'period': '5', 'summary': 'STRONG SELL'}
{'name': 'AUD/USD', 'period': '300', 'summary': 'BUY'}
{'name': 'AUD/CAD', 'period': '1', 'summary': 'STRONG SELL'}
{'name': 'AUD/USD', 'period': '15', 'summary': 'STRONG SELL'}
{'name': 'EUR/NZD', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'AUD/NZD', 'period': '2678400', 'summary': 'BUY'}
{'name': 'AUD/CAD', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'EUR/NZD', 'period': '604800', 'summary': 'STRONG BUY'}
{'name': 'NZD/JPY', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'CAD/CHF', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'NZD/CAD', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'CAD/CHF', 'period': '604800', 'summary': 'STRONG SELL'}
{'name': 'EUR/NZD', 'period': '1440', 'summary': 'BUY'}
{'name': 'EUR/NZD', 'period': '300', 'summary': 'STRONG SELL'}
{'name': 'GBP/NZD', 'period': '2678400', 'summary': 'STRONG BUY'}
{'name': 'XAU/USD', 'period': '2678400', 'summary': 'STRONG SELL'}
{'name': 'GBP/CHF', 'period': '2678400', 'summary': 'BUY'}
